"","entidad","tipo_delito","total_delitos","total_delito_fuero_comun","total_delito_fuero_federal"
"148","Baja California","10500",77,77,0
"149","Baja California","20100",127,98,29
"150","Baja California","20200",3,3,0
"151","Baja California","20300",7,7,0
"152","Baja California","20400",0,0,0
"153","Baja California","20500",13,13,0
"154","Baja California","20600",137,137,0
"155","Baja California","20700",0,0,0
"156","Baja California","30100",204,204,0
"157","Baja California","30200",0,0,0
"158","Baja California","30300",0,0,0
"159","Baja California","30400",525,525,0
"160","Baja California","30500",0,0,0
"161","Baja California","30600",0,0,0
"162","Baja California","30700",0,0,0
"163","Baja California","40100",5209,4769,440
"164","Baja California","40200",3,0,3
"165","Baja California","40300",53,53,0
"166","Baja California","40400",26,26,0
"167","Baja California","40500",3,3,0
"168","Baja California","40600",478,477,1
"169","Baja California","40700",9,9,0
"170","Baja California","40800",4,4,0
"171","Baja California","50100",695,571,124
"172","Baja California","50200",126,126,0
"173","Baja California","50300",2,2,0
"174","Baja California","60100",92,52,40
"175","Baja California","60200",2,2,0
"176","Baja California","60300",0,0,0
"177","Baja California","60400",0,0,0
"178","Baja California","60500",0,0,0
"179","Baja California","60600",1,1,0
"180","Baja California","70100",0,0,0
"181","Baja California","70200",3078,0,3078
"182","Baja California","70300",1,1,0
"183","Baja California","70400",243,237,6
"184","Baja California","70500",15,4,11
"185","Baja California","70600",869,0,869
"186","Baja California","70700",31,31,0
"187","Baja California","70800",0,0,0
"188","Baja California","70900",35,30,5
"189","Baja California","80100",9,9,0
"190","Baja California","80200",12,12,0
"191","Baja California","80300",0,0,0
"192","Baja California","80400",0,0,0
"193","Baja California","80500",13,13,0
"194","Baja California","90100",38,38,0
"195","Baja California","90200",622,621,1
"196","Baja California","90300",6,5,1
"197","Baja California","90400",5,0,5
"198","Baja California","90500",4,2,2
"199","Baja California","90600",0,0,0
"200","Baja California","90700",1,0,1
"201","Baja California","90800",0,0,0
"202","Baja California","90900",2,0,2
"203","Baja California","91000",0,0,0
"204","Baja California","91100",83,0,83
"205","Baja California","91200",13,12,1
"206","Baja California","91300",4,0,4
"207","Baja California","91400",2,2,0
"208","Baja California","91500",7,7,0
"209","Baja California","91600",0,0,0
"210","Baja California","91700",0,0,0
"211","Baja California","91800",212,203,9
"212","Baja California","100100",0,0,0
"213","Baja California","999999",0,0,0
"214","Baja California Sur","Total",529,482,47
"215","Baja California Sur","10100",57,57,0
"216","Baja California Sur","10200",4,4,0
"217","Baja California Sur","10300",1,1,0
"218","Baja California Sur","10400",23,23,0
"219","Baja California Sur","10500",0,0,0
"220","Baja California Sur","20100",1,1,0
"221","Baja California Sur","20200",0,0,0
"222","Baja California Sur","20300",0,0,0
"223","Baja California Sur","20400",0,0,0
"224","Baja California Sur","20500",7,7,0
"225","Baja California Sur","20600",16,16,0
"226","Baja California Sur","20700",0,0,0
"227","Baja California Sur","30100",20,20,0
"228","Baja California Sur","30200",1,1,0
"229","Baja California Sur","30300",0,0,0
"230","Baja California Sur","30400",38,38,0
"231","Baja California Sur","30500",0,0,0
"232","Baja California Sur","30600",0,0,0
"233","Baja California Sur","30700",3,3,0
"234","Baja California Sur","40100",226,225,1
"235","Baja California Sur","40200",0,0,0
"236","Baja California Sur","40300",1,1,0
"237","Baja California Sur","40400",1,1,0
"238","Baja California Sur","40500",0,0,0
"239","Baja California Sur","40600",5,5,0
"240","Baja California Sur","40700",9,9,0
"241","Baja California Sur","40800",0,0,0
"242","Baja California Sur","50100",6,6,0
"243","Baja California Sur","50200",9,9,0
"244","Baja California Sur","50300",0,0,0
