entidad_a,gdoestud_c,cafuaftt,cafuaf1,cafuaf2,cafuaf3,cafuaf4,cafuaf5,cafuaf6,cafuaf7,cafuaf8,cafuaf9,cafuaf10,cafuaf11,cafuaf12,cafuaf13,cafuaf14,cafuaf15,cafuaf16,cafuaf17,cafuaf18
18,6,349,132,217,1,0,69,79,27,63,0,3,0,0,0,0,35,72,NA,NA
18,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,NA
18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
18,9,,,,,,,,,,,,,,,,,,,
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
19,6,326,144,182,47,21,5,9,0,0,0,0,0,0,0,0,92,152,NA,NA
19,7,95,53,42,48,33,0,1,0,0,0,0,0,0,0,0,5,8,NA,NA
19,8,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
19,9,,,,,,,,,,,,,,,,,,,
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
20,3,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
20,4,70,31,39,0,0,0,0,5,10,0,0,0,0,13,4,13,25,0,0
20,5,17,4,13,0,0,0,0,0,0,0,0,0,0,2,2,2,8,0,3
20,6,675,356,319,31,40,129,86,43,62,0,0,54,34,49,12,31,50,19,35
20,7,102,45,57,9,13,28,33,1,1,0,0,3,5,1,0,1,5,2,0
20,8,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9,,,,,,,,,,,,,,,,,,,
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
21,3,24,8,16,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0
21,4,53,21,32,0,0,0,0,0,3,0,0,0,0,0,0,21,29,0,0
21,5,74,28,46,0,0,0,0,0,1,0,0,3,0,20,4,3,41,2,0
21,6,1510,802,708,0,0,215,271,17,33,0,0,52,51,419,151,38,107,61,95
21,7,45,17,28,0,0,9,15,1,0,0,0,2,5,1,1,1,0,3,7
21,8,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
21,9,,,,,,,,,,,,,,,,,,,
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
22,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA
22,4,37,22,15,0,0,0,0,2,7,0,0,0,1,17,0,3,7,NA,NA
22,5,285,249,36,0,0,0,0,0,1,0,0,6,1,241,23,2,11,NA,NA
22,6,488,186,302,50,109,0,0,65,156,0,0,13,17,55,14,3,6,NA,NA
22,7,23,8,15,3,12,0,0,0,1,0,0,1,1,4,1,0,0,NA,NA
22,8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA
22,9,,,,,,,,,,,,,,,,,,,
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0
23,3,95,74,21,0,0,0,0,4,18,0,0,0,0,68,2,2,1,0,0
23,4,450,312,138,9,4,0,0,32,60,0,0,4,5,258,57,9,12,0,0
23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,6,856,431,425,139,122,0,0,68,114,6,0,90,99,123,83,4,6,1,1
23,7,33,11,22,8,14,0,0,0,1,0,1,0,6,3,0,0,0,0,0
23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,9,,,,,,,,,,,,,,,,,,,
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,13,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
24,3,65,30,35,0,0,0,0,0,0,0,0,0,1,0,0,29,33,1,1
24,4,160,48,112,0,0,0,0,0,0,0,0,0,0,1,2,33,87,14,23
24,5,93,9,84,0,0,0,0,0,0,0,0,0,1,0,0,0,81,9,2
24,6,492,212,280,0,0,111,105,0,0,0,0,5,2,8,2,23,82,65,89
24,7,11,3,8,0,0,2,6,0,0,0,0,0,0,1,0,0,2,0,0
24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,9,,,,,,,,,,,,,,,,,,,
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
25,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA
25,3,11,2,9,0,0,0,0,0,0,0,0,1,0,0,0,1,9,NA,NA
25,4,35,5,30,0,0,0,0,0,0,0,0,2,0,1,1,2,29,NA,NA
