,entidad,nivel_de_escolaridad,total_personal,fiscales_de_ministerio_publico_hombres,fiscales_de_ministerio_publico_mujeres,agentes_de_ministerio_publico_hombres,agentes_de_ministerio_publico_mujeres,secretarios_del_ministerio_publico_hombres,secretarios_del_ministerio_publico_mujeres,actuarios_del_ministerio_publico_hombres,actuarios_del_ministerio_publico_mujeres,peritos_hombres,peritos_mujeres,policias_ministeriales_o_investigadores_o_judiciales_hombres,policias_ministeriales_o_investigadores_o_judiciales_mujeres,personal_administrativo_y_de_apoyo_hombres,personal_administrativo_y_de_apoyo_mujeres,otros_hombres,otros_mujeres
276,Veracruz,Ninguno,11,0,0,0,0,2,1,0,0,0,0,0,0,3,5,0,0
277,Veracruz,Preescolar o primaria,16,0,0,0,0,1,4,0,0,0,0,0,0,7,4,0,0
278,Veracruz,Preparatoria,284,5,3,0,0,26,92,0,0,0,0,26,5,51,72,3,1
279,Veracruz,Secundaria,77,0,0,0,0,7,13,0,0,0,0,1,0,22,32,2,0
280,Yucatán,Total,340,147,169,0,0,0,0,0,0,0,0,0,0,8,16,0,0
281,Yucatán,Carrera técnica o carrera comercial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Yucatán,Doctorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,Yucatán,Licenciatura,333,143,166,0,0,0,0,0,0,0,0,0,0,8,16,0,0
284,Yucatán,Maestría,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Yucatán,Ninguno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Yucatán,Preescolar o primaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,Yucatán,Preparatoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,Yucatán,Secundaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,Zacatecas,Total,450,62,108,0,0,74,206,0,0,0,0,0,0,0,0,0,0
290,Zacatecas,Carrera técnica o carrera comercial,14,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0
291,Zacatecas,Doctorado,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Zacatecas,Licenciatura,383,54,90,0,0,63,176,0,0,0,0,0,0,0,0,0,0
293,Zacatecas,Maestría,31,7,18,0,0,0,6,0,0,0,0,0,0,0,0,0,0
294,Zacatecas,Ninguno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,Zacatecas,Preescolar o primaria,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
296,Zacatecas,Preparatoria,17,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0
297,Zacatecas,Secundaria,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
